epoch,loss,val_ndcg,user_h_0,user_h_1,user_h_2,user_h_3,user_h_4,user_h_5,user_h_6,user_h_7,user_h_8,user_h_9,user_h_10,user_h_11,user_h_12,user_h_13,user_h_14,user_h_15,user_h_16,user_h_17,user_h_18,user_h_19,user_h_20,user_h_21,user_h_22,user_h_23,user_h_24,user_h_25,user_h_26,user_h_27,user_h_28,user_h_29,user_response_mean,user_response_std,user_grad_norm,item_h_0,item_h_1,item_h_2,item_h_3,item_h_4,item_h_5,item_h_6,item_h_7,item_h_8,item_h_9,item_h_10,item_h_11,item_h_12,item_h_13,item_h_14,item_h_15,item_h_16,item_h_17,item_h_18,item_h_19,item_response_mean,item_response_std,item_grad_norm
0,0.0,0.3294954105344433,0.8807970285415649,0.6789211630821228,0.6681115627288818,0.6667667031288147,0.6655979752540588,0.6642881631851196,0.6633232831954956,0.6632179021835327,0.662819504737854,0.6626731157302856,0.6626436114311218,0.6625657081604004,0.6622709631919861,0.6621205806732178,0.6620580554008484,0.6617481112480164,0.661670446395874,0.6615305542945862,0.6614866256713867,0.6613574028015137,0.6612441539764404,0.6612043380737305,0.6611233949661255,0.6610663533210754,0.6610345840454102,0.6609706282615662,0.660855233669281,0.660811722278595,0.6607810854911804,0.6607563495635986,0.6701938509941101,0.03925955295562744,0,0.8807970285415649,0.6781120896339417,0.6674256324768066,0.6660972833633423,0.6649430394172668,0.6636496782302856,0.6626970171928406,0.6625930070877075,0.6621996760368347,0.6620551347732544,0.662026047706604,0.661949098110199,0.6616581678390503,0.6615096926689148,0.661448061466217,0.6611419916152954,0.661065399646759,0.6609272956848145,0.6608839631080627,0.6607563495635986,0.674196720123291,0.047550611197948456,0
1,0.6499731540679932,0.3286480355592798,0.85569828748703,0.744560718536377,0.6757935881614685,0.6574903726577759,0.6572678089141846,0.6549965739250183,0.6783620715141296,0.682441771030426,0.6867147088050842,0.6819925904273987,0.6806325316429138,0.6764968633651733,0.6580814719200134,0.6516667008399963,0.6504940390586853,0.6591636538505554,0.6634570956230164,0.6692463755607605,0.6699134707450867,0.6672376394271851,0.6595257520675659,0.6562036275863647,0.6501193046569824,0.6476901173591614,0.6474359631538391,0.649763822555542,0.6595726013183594,0.6597524285316467,0.6553559899330139,0.6471787095069885,0.6718102097511292,0.03890717774629593,0.03246568143367767,0.8506879210472107,0.7424846291542053,0.6705963611602783,0.6513895988464355,0.6584469676017761,0.6864299774169922,0.6636396050453186,0.6582566499710083,0.6450434327125549,0.6467501521110535,0.647639274597168,0.65079265832901,0.6678348183631897,0.6726874709129333,0.6724650859832764,0.6517916321754456,0.6468308568000793,0.6490411162376404,0.652843177318573,0.6562576293945312,0.6720954775810242,0.04614322632551193,0.047144096344709396
5,0.6421401500701904,0.32827564135428094,0.8469966053962708,0.7457275986671448,0.6950377225875854,0.6792491674423218,0.6583378911018372,0.6508421301841736,0.6503533124923706,0.6533963084220886,0.6622035503387451,0.6621426939964294,0.6618443131446838,0.6606149077415466,0.6521862745285034,0.6483169198036194,0.6474313735961914,0.652206301689148,0.6552139520645142,0.6601348519325256,0.6611120104789734,0.6612187027931213,0.6576759219169617,0.6558850407600403,0.6522846817970276,0.6505656242370605,0.6501721143722534,0.6509263515472412,0.6552889943122864,0.6545764803886414,0.6511245965957642,0.6453250646591187,0.6662797331809998,0.03834320232272148,0.01611443981528282,0.8039795160293579,0.7351449728012085,0.6942951083183289,0.6731923222541809,0.6591361165046692,0.6579366326332092,0.655117928981781,0.655637264251709,0.6551244854927063,0.6542046070098877,0.6540287733078003,0.6536320447921753,0.6534673571586609,0.6536625623703003,0.6535375118255615,0.6509518623352051,0.6511245965957642,0.6541502475738525,0.6551549434661865,0.6463884115219116,0.668493390083313,0.03673823922872543,0.015866730362176895
10,0.6425968408584595,0.3281608187776658,0.8361089825630188,0.7435882687568665,0.6978373527526855,0.6750589609146118,0.6514718532562256,0.6510685682296753,0.6479016542434692,0.6505870223045349,0.6589173078536987,0.6589377522468567,0.6586571931838989,0.6574602723121643,0.6485775709152222,0.6438771486282349,0.6425137519836426,0.6444255113601685,0.6468769311904907,0.6513586044311523,0.6523867249488831,0.6532009243965149,0.6508188843727112,0.6494860053062439,0.646744966506958,0.6454648375511169,0.6452232599258423,0.6460548043251038,0.6501520872116089,0.649632453918457,0.6466684937477112,0.6416181325912476,0.661422610282898,0.03786012902855873,0.015135406516492367,0.788608193397522,0.7290174961090088,0.6963204145431519,0.671463131904602,0.6542115807533264,0.6543776392936707,0.6530297994613647,0.6543221473693848,0.6536957025527954,0.6508705019950867,0.6502088308334351,0.6484416723251343,0.6444814801216125,0.645591139793396,0.6465253233909607,0.6473152041435242,0.6449336409568787,0.6405712366104126,0.6408594250679016,0.6571081876754761,0.6635977029800415,0.03518792241811752,0.01532549038529396
15,0.6440886855125427,0.3282195025605232,0.8308629989624023,0.7414612770080566,0.6942908763885498,0.6733218431472778,0.6505784392356873,0.648198127746582,0.642295777797699,0.6446892619132996,0.6527758836746216,0.6531527638435364,0.6529725193977356,0.6520804166793823,0.6446349620819092,0.6405930519104004,0.639440655708313,0.6417866945266724,0.6442714929580688,0.6489145755767822,0.650037407875061,0.6512272953987122,0.6490914225578308,0.6477460265159607,0.6446681618690491,0.64281165599823,0.6421101093292236,0.6417479515075684,0.6436948180198669,0.6431294679641724,0.6407939791679382,0.6368663907051086,0.6576748490333557,0.037784166634082794,0.014512372203171253,0.7823086380958557,0.7269183993339539,0.6900550723075867,0.6695041060447693,0.6567182540893555,0.6505717635154724,0.6486077904701233,0.6491988897323608,0.647982120513916,0.6463900208473206,0.646058201789856,0.6452291011810303,0.6435153484344482,0.6433205604553223,0.643176257610321,0.6417530179023743,0.6423356533050537,0.6456481218338013,0.6465257406234741,0.6366062164306641,0.6601211428642273,0.03459183871746063,0.01330510526895523
20,0.643730103969574,0.32812078844020737,0.8238137364387512,0.7381862998008728,0.6925855278968811,0.6694924831390381,0.6472260355949402,0.6465252637863159,0.6419498324394226,0.6443293690681458,0.6517382264137268,0.6516332626342773,0.6513448357582092,0.6501541137695312,0.6415290236473083,0.6369398236274719,0.6355788111686707,0.6369102597236633,0.6390846967697144,0.6430498361587524,0.6439316272735596,0.6444092988967896,0.6418473124504089,0.6404640674591064,0.637610912322998,0.6362318992614746,0.635931670665741,0.6366825103759766,0.641407310962677,0.6418735384941101,0.6401126384735107,0.6364831328392029,0.6539685130119324,0.037410568445920944,0.014786449261009693,0.7752995491027832,0.7227090001106262,0.6880231499671936,0.6668393611907959,0.6534241437911987,0.6479185223579407,0.647291898727417,0.6482352614402771,0.6470696330070496,0.6446995139122009,0.6441646814346313,0.642754077911377,0.6392514705657959,0.6392017602920532,0.6393728256225586,0.6384117603302002,0.637592613697052,0.6372668743133545,0.6377716660499573,0.6392250657081604,0.6568261384963989,0.033907804638147354,0.012407593429088593
25,0.6444096565246582,0.32802844515153334,0.8198209404945374,0.7368200421333313,0.6909136772155762,0.6697989106178284,0.6456350684165955,0.6435983180999756,0.6401296854019165,0.6422635316848755,0.6483435034751892,0.6477966904640198,0.6474342942237854,0.6460795998573303,0.63730788230896,0.6329004764556885,0.6316420435905457,0.6334174275398254,0.6356480121612549,0.6396920680999756,0.640608549118042,0.6412796974182129,0.639049768447876,0.6378172636032104,0.6352857351303101,0.6340930461883545,0.6338562369346619,0.6345775723457336,0.6383271217346191,0.637972354888916,0.6354444026947021,0.6310696601867676,0.6509540677070618,0.037546321749687195,0.01440398208796978,0.7709149718284607,0.7196469902992249,0.6863452196121216,0.6658255457878113,0.6511422991752625,0.645496129989624,0.6440389752388,0.6448090672492981,0.6436243653297424,0.6414994597434998,0.6410197615623474,0.63974928855896,0.6363595724105835,0.6359738707542419,0.6359612941741943,0.6350634694099426,0.6348070502281189,0.635552704334259,0.636034369468689,0.6335107684135437,0.6538686752319336,0.033790066838264465,0.011995087377727032
30,0.6466507911682129,0.32815703170855426,0.8111847043037415,0.7354812622070312,0.6880223155021667,0.6670292615890503,0.645704448223114,0.6408572196960449,0.638390302658081,0.6408767104148865,0.647616982460022,0.6468964219093323,0.6464704275131226,0.644907534122467,0.635058581829071,0.630190908908844,0.628814697265625,0.6308531165122986,0.6333114504814148,0.6377195119857788,0.6386978626251221,0.6392806768417358,0.6365633606910706,0.6350724101066589,0.6319267153739929,0.6302895545959473,0.6298273801803589,0.6302037239074707,0.633922815322876,0.6337671279907227,0.6314159035682678,0.627179741859436,0.6482511758804321,0.03683917596936226,0.01448350865393877,0.7643192410469055,0.717393696308136,0.6836377382278442,0.6632817387580872,0.64997798204422,0.6437522172927856,0.6422733068466187,0.6428013443946838,0.6403374075889587,0.6378298401832581,0.6372970938682556,0.6359380483627319,0.6330310106277466,0.6332703232765198,0.633505642414093,0.6323010325431824,0.6313655376434326,0.6309144496917725,0.6313866376876831,0.6324234008789062,0.6508519053459167,0.033298175781965256,0.012099742889404297
35,0.6445220112800598,0.3279875265024401,0.8127399682998657,0.7331717610359192,0.6893052458763123,0.6651839017868042,0.6411191821098328,0.641414225101471,0.6342054009437561,0.6360185742378235,0.6420767307281494,0.6419872045516968,0.64173823595047,0.6407047510147095,0.633120059967041,0.6290575265884399,0.6278605461120605,0.6294499039649963,0.6316437125205994,0.635812520980835,0.636825680732727,0.6378585696220398,0.6357648372650146,0.6344467997550964,0.6313727498054504,0.6294232606887817,0.6286199688911438,0.6279406547546387,0.6292865872383118,0.6288474798202515,0.6269292235374451,0.6236539483070374,0.6459192037582397,0.0375560000538826,0.014913736842572689,0.7624976634979248,0.7150290012359619,0.6819562911987305,0.6616650223731995,0.6472471356391907,0.6418234705924988,0.6390644311904907,0.639618992805481,0.6380422115325928,0.635955810546875,0.6354917287826538,0.6342693567276001,0.631037712097168,0.6306695342063904,0.6306556463241577,0.6297355890274048,0.6294254064559937,0.6299076080322266,0.6302722096443176,0.6277188062667847,0.648604154586792,0.03341669216752052,0.011614086106419563
40,0.6451493501663208,0.3279132903276781,0.8071086406707764,0.7305921316146851,0.6864262819290161,0.6652727723121643,0.6424060463905334,0.6388418674468994,0.6329710483551025,0.6348647475242615,0.64056795835495,0.6401484608650208,0.6398279666900635,0.6386054754257202,0.6304472088813782,0.6262437701225281,0.625013530254364,0.6263506412506104,0.6283716559410095,0.6320617198944092,0.6328886151313782,0.6333662867546082,0.630975067615509,0.6296522617340088,0.6268156170845032,0.6252752542495728,0.6247935891151428,0.6249465346336365,0.6280441880226135,0.6280648708343506,0.6262674927711487,0.6229017376899719,0.6433371901512146,0.03717750683426857,0.014483715407550335,0.7571991682052612,0.7123662233352661,0.6807855367660522,0.6606801152229309,0.6461368799209595,0.640528678894043,0.637054443359375,0.6375572085380554,0.63568514585495,0.6334187984466553,0.6329157948493958,0.6315915584564209,0.628171443939209,0.6279593110084534,0.6280597448348999,0.6273259520530701,0.626681387424469,0.6262768507003784,0.626531183719635,0.6264767050743103,0.6461701393127441,0.0330573245882988,0.01166597567498684
